	num_votes	rating	tconst	title	year	genre	runtime
72	61422	8.4	tt0051201	Witness for the Prosecution	1957	[Crime, Drama, Mystery, Thriller]	6960
73	97373	8.4	tt0022100	M	1931	[Crime, Drama, Mystery, Thriller]	5940
74	651864	8.4	tt0105236	Reservoir Dogs	1992	[Crime, Drama, Thriller]	5940
75	525010	8.4	tt0211915	Amélie	2001	[Comedy, Romance]	7320
76	724509	8.4	tt0112573	Braveheart	1995	[Biography, Drama, History, War]	10680
77	563422	8.4	tt0180093	Requiem for a Dream	2000	[Drama]	6120
78	547452	8.4	tt0066921	A Clockwork Orange	1971	[Crime, Drama, Sci-Fi]	8160
79	496856	8.3	tt0075314	Taxi Driver	1976	[Crime, Drama]	6780
80	95782	8.4	tt0036775	Double Indemnity	1944	[Crime, Drama, Film-Noir, Mystery, Thriller]	6420
81	532589	8.3	tt0435761	Toy Story 3	2010	[Animation, Adventure, Comedy, Family, Fantasy]	6180
82	210810	8.4	tt0056592	To Kill a Mockingbird	1962	[Crime, Drama]	7740
83	189319	8.4	tt0056172	Lawrence of Arabia	1962	[Adventure, Biography, Drama, History, War]	13620
84	654012	8.3	tt0338013	Eternal Sunshine of the Spotless Mind	2004	[Drama, Romance, Sci-Fi]	6480
85	475630	8.3	tt0093058	Full Metal Jacket	1987	[Drama, War]	6960
86	266023	8.3	tt0086879	Amadeus	1984	[Biography, Drama, History, Music]	9600
87	172420	8.3	tt0070735	The Sting	1973	[Comedy, Crime, Drama]	7740
88	418988	8.3	tt0062622	2001: A Space Odyssey	1968	[Adventure, Mystery, Sci-Fi]	8940
89	92454	8.3	tt0040522	Bicycle Thieves	1948	[Drama]	5340
90	147339	8.3	tt0045152	Singin' in the Rain	1952	[Comedy, Musical, Romance]	6180
91	591448	8.3	tt0208092	Snatch.	2000	[Comedy, Crime]	6120
92	609372	8.3	tt0114709	Toy Story	1995	[Animation, Adventure, Comedy, Family, Fantasy]	4860
93	376183	8.3	tt0071853	Monty Python and the Holy Grail	1975	[Adventure, Comedy, Fantasy]	5460
94	866240	8.3	tt0361748	Inglourious Basterds	2009	[Adventure, Drama, War]	9180
95	65371	8.4	tt0012349	The Kid	1921	[Comedy, Drama, Family]	4080
96	408118	8.3	tt0119488	L.A. Confidential	1997	[Crime, Drama, Mystery, Thriller]	8280
97	153805	8.3	tt0059578	For a Few Dollars More	1965	[Western]	7920
98	107261	8.3	tt0053604	The Apartment	1960	[Comedy, Drama, Romance]	7500
99	100620	8.3	tt0042876	Rashomon	1950	[Crime, Drama]	5280
100	506211	8.3	tt0097576	Indiana Jones and the Last Crusade	1989	[Action, Adventure, Fantasy]	7620
